"id" "session" "task_type" "temp_ori" "trial" "X1" "E1" "X2" "E2" "EffortfulOptionChosen" "rt"
"78" "AF1HIRI2" "2" "Real" "Retrospective" "4" 20.5 0 15 115 0 1.24814748697031
"79" "AF1HIRI2" "2" "Real" "Retrospective" "4" 19.5 0 15 115 1 1.16396785183133
"80" "AF1HIRI2" "2" "Real" "Retrospective" "4" 20 0 15 115 0 0.762963237109716
"81" "AF1HIRI2" "2" "Real" "Retrospective" "4" 19.75 0 15 115 1 0.995306282776255
"82" "AF1HIRI2" "2" "Real" "Retrospective" "4" 19.875 0 15 115 1 0.868345150561481
"83" "AF1HIRI2" "2" "Real" "Retrospective" "4" 20 0 15 115 0 1.54319295929963
"84" "AF1HIRI2" "2" "Real" "Retrospective" "5" 7.5 0 15 45 1 3.0359094870189
"85" "AF1HIRI2" "2" "Real" "Retrospective" "5" 8.5 0 15 45 1 1.39214433709185
"86" "AF1HIRI2" "2" "Real" "Retrospective" "5" 9.5 0 15 45 1 1.91880665380745
"87" "AF1HIRI2" "2" "Real" "Retrospective" "5" 10.5 0 15 45 1 2.5535152807056
"88" "AF1HIRI2" "2" "Real" "Retrospective" "5" 12.5 0 15 45 1 1.10934227623511
"89" "AF1HIRI2" "2" "Real" "Retrospective" "5" 16.5 0 15 45 0 1.38602216484492
"90" "AF1HIRI2" "2" "Real" "Retrospective" "5" 14.5 0 15 45 1 0.872942766631013
"91" "AF1HIRI2" "2" "Real" "Retrospective" "5" 15.5 0 15 45 0 0.987565630246309
"92" "AF1HIRI2" "2" "Real" "Retrospective" "5" 15 0 15 45 0 0.596190413396698
"93" "AF1HIRI2" "2" "Real" "Retrospective" "5" 14.5 0 15 45 1 0.904047506937104
"94" "AF1HIRI2" "2" "Real" "Retrospective" "5" 14.75 0 15 45 1 1.38167304334638
"95" "AF1HIRI2" "2" "Real" "Retrospective" "5" 15 0 15 45 0 0.96155083004669
"96" "AF1HIRI2" "2" "Real" "Retrospective" "5" 14.875 0 15 45 1 0.742919459768473
"97" "AF1HIRI2" "2" "Real" "Retrospective" "6" 7.5 0 15 175 1 1.7221696966003
"98" "AF1HIRI2" "2" "Real" "Retrospective" "6" 8.5 0 15 175 1 1.43133245961099
"99" "AF1HIRI2" "2" "Real" "Retrospective" "6" 9.5 0 15 175 1 0.789410648007788
"100" "AF1HIRI2" "2" "Real" "Retrospective" "6" 10.5 0 15 175 1 0.560521956781031
"101" "AF1HIRI2" "2" "Real" "Retrospective" "6" 12.5 0 15 175 1 0.705059648027145
"102" "AF1HIRI2" "2" "Real" "Retrospective" "6" 16.5 0 15 175 1 1.15045833097497
"103" "AF1HIRI2" "2" "Real" "Retrospective" "6" 24.5 0 15 175 1 1.53822026882199
"104" "AF1HIRI2" "2" "Real" "Retrospective" "6" 40.5 0 15 175 0 2.00788184969519
"105" "AF1HIRI2" "2" "Real" "Retrospective" "6" 32.5 0 15 175 0 3.19689633702205
"106" "AF1HIRI2" "2" "Real" "Retrospective" "6" 24.5 0 15 175 1 1.64139247773642
"107" "AF1HIRI2" "2" "Real" "Retrospective" "6" 28.5 0 15 175 1 1.03108576888076
"108" "AF1HIRI2" "2" "Real" "Retrospective" "6" 32.5 0 15 175 0 1.24348891353452
"109" "AF1HIRI2" "2" "Real" "Retrospective" "6" 30.5 0 15 175 0 1.00649880168999
"110" "AF1HIRI2" "2" "Real" "Retrospective" "6" 28.5 0 15 175 1 0.988859419250502
"111" "AF1HIRI2" "2" "Real" "Retrospective" "6" 29.5 0 15 175 1 1.13890970907778
"112" "AF1HIRI2" "2" "Real" "Retrospective" "6" 30.5 0 15 175 0 0.54061160143101
"113" "AF1HIRI2" "2" "Real" "Retrospective" "6" 30 0 15 175 0 0.775418755337569
"114" "AF1HIRI2" "2" "Real" "Retrospective" "6" 29.5 0 15 175 1 0.984516206884336
"115" "AF1HIRI2" "2" "Real" "Retrospective" "6" 29.75 0 15 175 1 0.890104753368405
"116" "AF1HIRI2" "2" "Real" "Retrospective" "6" 30 0 15 175 0 0.880569590608957
"117" "AF1HIRI2" "2" "Real" "Retrospective" "6" 29.875 0 15 175 1 0.85992867988125
"118" "AF7HCRC1" "1" "Hypothetical" "Prospective" "2" 7.5 0 15 45 0 4.18532899999991
"119" "AF7HCRC1" "1" "Hypothetical" "Prospective" "2" 6.5 0 15 45 0 2.00574599998072
"120" "AF7HCRC1" "1" "Hypothetical" "Prospective" "2" 5.5 0 15 45 0 2.99199860001681
"121" "AF7HCRC1" "1" "Hypothetical" "Prospective" "2" 4.5 0 15 45 0 2.43939359998331
"122" "AF7HCRC1" "1" "Hypothetical" "Prospective" "2" 2.5 0 15 45 0 3.41426290001254
"123" "AF7HCRC1" "1" "Hypothetical" "Prospective" "2" 2.5 0 15 45 0 2.48618830001215
"124" "AF7HCRC1" "1" "Hypothetical" "Prospective" "2" 0.5 0 15 45 0 4.00043099996401
"125" "AF7HCRC1" "1" "Hypothetical" "Prospective" "2" 0.5 0 15 45 0 4.34187030000612
"126" "AF7HCRC1" "1" "Hypothetical" "Prospective" "3" 7.5 0 15 115 0 2.19363579998026
"127" "AF7HCRC1" "1" "Hypothetical" "Prospective" "3" 6.5 0 15 115 0 2.37654189998284
"128" "AF7HCRC1" "1" "Hypothetical" "Prospective" "3" 5.5 0 15 115 0 5.83753600000637
"129" "AF7HCRC1" "1" "Hypothetical" "Prospective" "3" 4.5 0 15 115 0 2.30263290001312
"130" "AF7HCRC1" "1" "Hypothetical" "Prospective" "3" 2.5 0 15 115 0 1.50217819999671
"131" "AF7HCRC1" "1" "Hypothetical" "Prospective" "4" 7.5 0 15 175 0 3.0676122000441
"132" "AF7HCRC1" "1" "Hypothetical" "Prospective" "4" 6.5 0 15 175 0 2.23898140003439
"133" "AF7HCRC1" "1" "Hypothetical" "Prospective" "4" 5.5 0 15 175 0 2.4463623999618
"134" "AF7HCRC1" "1" "Hypothetical" "Prospective" "4" 4.5 0 15 175 0 1.79159330000402
